id,region,name,type,lat,lng,address,capacity,note
SHELTER-DJ-001,대전,배재대학교 아펜젤러기념관,school_shelter,36.3219,127.3688,대전광역시 서구 배재로 155-40,300,교내 임시 대피 가능 지점
SHELTER-DJ-002,대전,도마동 행정복지센터,public_shelter,36.3169,127.3781,대전광역시 서구 도마동,180,지역 공공 대피 후보
SHELTER-SE-001,서울,서울시청 시민청,public_shelter,37.5663,126.9780,서울특별시 중구 세종대로 110,500,도심 공공 대피 후보
SHELTER-SE-002,서울,여의도 한강공원 대피 후보지,open_area,37.5267,126.9335,서울특별시 영등포구 여의도동,800,침수·행사 인파 상황 참고
SHELTER-BS-001,부산,부산시민공원,open_area,35.1688,129.0570,부산광역시 부산진구 시민공원로,900,대규모 야외 대피 후보
SHELTER-BS-002,부산,해운대구 문화복합센터,public_shelter,35.1632,129.1636,부산광역시 해운대구,300,해안가 재난 대응 후보
SHELTER-GJ-001,광주,광주광역시청 대피 후보,public_shelter,35.1595,126.8526,광주광역시 서구 내방로,450,도심 행정 대피 후보
SHELTER-DG-001,대구,대구시청 산격청사 주변 대피 후보,public_shelter,35.8838,128.6038,대구광역시 북구,400,폭염·화재 대응 후보
SHELTER-IC-001,인천,인천시청 주변 대피 후보,public_shelter,37.4563,126.7052,인천광역시 남동구 정각로,420,도심 공공 대피 후보
SHELTER-JJ-001,제주,제주시민복지타운 대피 후보,public_shelter,33.4996,126.5312,제주특별자치도 제주시,350,태풍·폭우 대응 후보
